Monthly averages of Solar 10.7 cm flux
 Year   Mon   Obsflux    Adjflux    Absflux
 1980    7     184.79     190.82     171.73
 1980    8     166.22     170.28     153.24
 1980    9     183.86     185.81     167.22
 1980   10     204.23     202.84     182.55
 1980   11     218.09     213.39     192.04
 1980   12     227.44     220.31     198.28
 1981    1     174.56     169.03     152.13
 1981    2     204.52     199.65     179.70
 1981    3     205.29     203.22     182.91
 1981    4     223.21     224.74     202.27
 1981    5     194.63     198.94     179.03
 1981    6     156.86     161.86     145.67
 1981    7     191.95     198.18     178.35
 1981    8     220.59     225.94     203.35
 1981    9     219.50     221.89     199.70
 1981   10     224.30     222.81     200.54
 1981   11     207.80     203.33     183.00
 1981   12     207.77     201.36     181.21
 1982    1     179.04     173.37     156.04
 1982    2     214.24     209.00     188.10
 1982    3     210.47     208.30     187.48
 1982    4     161.82     162.95     146.66
 1982    5     144.65     147.89     133.10
 1982    6     171.91     177.35     159.62
 1982    7     159.57     164.81     148.33
 1982    8     167.87     172.06     154.86
 1982    9     165.29     167.03     150.34
 1982   10     161.93     160.86     144.78
 1982   11     167.38     163.68     147.31
 1982   12     199.35     193.17     173.85
 1983    1     142.29     137.75     123.98
 1983    2     122.63     119.63     107.67
 1983    3     118.55     117.29     105.55
 1983    4     118.95     119.85     107.86
 1983    5     137.07     140.11     126.11
 1983    6     138.64     143.00     128.71
 1983    7     125.03     129.10     116.19
 1983    8     124.37     127.54     114.79
 1983    9     109.03     110.20      99.18
 1983   10     112.42     111.78     100.59
 1983   11      92.45      90.45      81.41
 1983   12      93.44      90.53      81.48
 1984    1     116.11     112.43     101.19
 1984    2     140.56     137.20     123.49
 1984    3     122.03     120.86     108.77
 1984    4     128.67     129.70     116.73
 1984    5     128.27     131.15     118.04
 1984    6     100.27     103.45      93.11
 1984    7      89.25      92.18      82.96
 1984    8      83.67      85.73      77.17
 1984    9      78.07      78.91      71.02
 1984   10      73.55      73.05      65.75
 1984   11      76.28      74.58      67.13
 1984   12      75.85      73.48      66.13
 1985    1      74.46      72.09      64.88
 1985    2      73.67      71.89      64.70
 1985    3      73.25      72.54      65.29
 1985    4      75.14      75.71      68.14
 1985    5      80.24      82.02      73.83
 1985    6      76.08      78.48      70.64
 1985    7      78.71      81.28      73.15
 1985    8      71.48      73.25      65.94
 1985    9      69.48      70.22      63.20
 1985   10      74.68      74.17      66.74
 1985   11      74.24      72.61      65.35
 1985   12      74.77      72.43      65.19
 1986    1      73.25      70.91      63.83
 1986    2      83.58      81.54      73.39
 1986    3      77.02      76.21      68.58
 1986    4      75.06      75.60      68.04
 1986    5      72.61      74.23      66.81
 1986    6      67.59      69.73      62.76
 1986    7      70.21      72.51      65.26
 1986    8      68.37      70.07      63.07
 1986    9      68.71      69.45      62.50
 1986   10      82.95      82.38      74.15
 1986   11      77.14      75.48      67.94
 1986   12      72.64      70.36      63.34
 1987    1      72.51      70.19      63.18
 1987    2      71.53      69.79      62.80
 1987    3      74.01      73.25      65.93
 1987    4      84.94      85.49      76.94
 1987    5      87.78      89.73      80.76
 1987    6      77.94      80.41      72.38
 1987    7      84.25      87.00      78.31
 1987    8      89.96      92.22      83.00
 1987    9      86.08      87.03      78.33
 1987   10      98.12      97.48      87.74
 1987   11     101.23      99.03      89.12
 1987   12      94.40      91.46      82.31
 1988    1     108.02     104.56      94.11
 1988    2     104.97     102.43      92.19
 1988    3     114.92     113.84     102.45
 1988    4     122.69     123.55     111.20
 1988    5     115.24     117.85     106.06
 1988    6     139.38     143.81     129.42
 1988    7     152.67     157.65     141.88
 1988    8     154.21     158.04     142.24
 1988    9     152.54     154.11     138.70
 1988   10     169.82     168.72     151.85
 1988   11     156.18     152.77     137.49
 1988   12     199.79     193.51     174.15
 1989    1     235.38     227.84     205.06
 1989    2     222.39     216.96     195.26
 1989    3     205.07     203.02     182.72
 1989    4     189.56     190.93     171.84
 1989    5     190.14     194.40     174.95
 1989    6     239.58     247.20     222.49
 1989    7     181.86     187.81     169.04
 1989    8     217.09     222.53     200.27
 1989    9     225.90     228.41     205.58
 1989   10     208.68     207.35     186.63
 1989   11     235.13     230.00     207.01
 1989   12     213.00     206.35     185.70
 1990    1     210.06     203.41     183.07
 1990    2     178.30     174.09     156.68
 1990    3     188.81     186.99     168.30
 1990    4     185.26     186.62     167.95
 1990    5     189.71     193.99     174.60
 1990    6     170.94     176.34     158.71
 1990    7     180.71     186.61     167.95
 1990    8     222.65     228.09     205.28
 1990    9     177.38     179.27     161.35
 1990   10     181.98     180.85     162.76
 1990   11     184.26     180.26     162.24
 1990   12     204.90     198.54     178.69
 1991    1     229.36     222.11     199.89
 1991    2     243.01     237.20     213.49
 1991    3     229.98     227.63     204.86
 1991    4     198.78     200.07     180.06
 1991    5     190.29     194.51     175.05
 1991    6     206.82     213.33     191.99
 1991    7     211.97     218.89     197.01
 1991    8     210.31     215.52     193.97
 1991    9     180.60     182.54     164.29
 1991   10     201.32     199.97     179.98
 1991   11     171.99     168.34     151.49
 1991   12     223.94     216.95     195.25
 1992    1     217.59     210.65     189.57
 1992    2     232.08     226.46     203.82
 1992    3     171.29     169.65     152.69
 1992    4     158.51     159.68     143.71
 1992    5     125.37     128.15     115.34
 1992    6     116.72     120.43     108.40
 1992    7     132.17     136.50     122.85
 1992    8     122.06     125.12     112.61
 1992    9     116.81     118.02     106.21
 1992   10     131.68     130.73     117.66
